Temporada,Jornada,Posicion_Local,Puntos_Acumulados_Local,Local,Goles_Acumulados_Local,Visitante,Goles_Acumulados_Visitantes,Puntos_Acumulados_Visitantes,Posicion_Visitante,Resultado,Ratio_Jornada_Local,Ratio_Jornada_Visitante,Estado_Tabla_Local,Estado_Tabla_Visitante,Racha_Local,Racha_Visitante,Racha_Puntos_Local,Racha_Puntos_Visitante,Media_Goles,Media_Goles_Local,Media_Goles_Visitante,Goles_Encajados_Local_Acumulados,Goles_Encajados_Visitante_Acumulados,Goles_Marcados_Local_Acumulados,Goles_Marcados_Visitante_Acumulados,Diferencia_Posicion,Rendimiento_Casa_Local,Rendimiento_Fuera_Visitante,Forma_Reciente_Local,Forma_Reciente_Visitante,Porterias_Cero_Local_Acum,Porterias_Cero_Visitante_Acum,Diferencia_Puntos_Local,Diferencia_Puntos_Visitante,Ratio_Goles_por_partido_Visitante,Ratio_Goles_por_partido_Local,Local_Es_Favorito,Visitante_Es_Favorito,Rendimiento_Vistante,Rendimiento_Local,Local_Es_Ofensivo,Visitante_Es_Ofensivo,Local_Es_Defensivo,Visitante_Es_Defensivo
2000,1,8,0.0,30,0.0,37,0.0,0.0,7,0,0.0,0.0,2,2,0,0,2,2,0.0,0.0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
2000,1,3,0.0,19,0.0,3,0.0,0.0,1,0,0.0,0.0,0,0,0,0,2,2,0.0,0.0,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
2000,1,20,0.0,41,0.0,12,0.0,0.0,17,1,0.0,0.0,4,3,0,0,2,2,0.0,0.0,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
2000,1,2,0.0,5,0.0,23,0.0,0.0,12,0,0.0,0.0,0,1,0,0,2,2,0.0,0.0,0.0,0,0,0,0,-10,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
2000,1,5,0.0,26,0.0,8,0.0,0.0,18,1,0.0,0.0,2,4,0,0,2,2,0.0,0.0,0.0,0,0,0,0,-13,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
2000,1,13,0.0,25,0.0,27,0.0,0.0,11,0,0.0,0.0,1,1,0,0,2,2,0.0,0.0,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
2000,1,15,0.0,20,0.0,0,0.0,0.0,4,1,0.0,0.0,3,0,0,0,2,2,0.0,0.0,0.0,0,0,0,0,11,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
2000,1,6,0.0,39,0.0,29,0.0,0.0,9,1,0.0,0.0,2,1,0,0,2,2,0.0,0.0,0.0,0,0,0,0,-3,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
2000,1,1,0.0,3,0.0,5,0.0,0.0,2,0,0.0,0.0,0,0,0,0,2,2,0.0,0.0,0.0,0,0,0,0,-1,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
2000,1,10,0.0,28,0.0,19,0.0,0.0,3,1,0.0,0.0,1,0,0,0,2,2,0.0,0.0,0.0,0,0,0,0,7,0.0,0.0,0.0,0.0,2,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
