Temporada,Jornada,Posicion_Local,Puntos_Acumulados_Local,Local,Goles_Acumulados_Local,Visitante,Goles_Acumulados_Visitantes,Puntos_Acumulados_Visitantes,Posicion_Visitante,Resultado,Ratio_Jornada_Local,Ratio_Jornada_Visitante,Estado_Tabla_Local,Estado_Tabla_Visitante,Racha_Local,Racha_Visitante,Racha_Puntos_Local,Racha_Puntos_Visitante,Media_Goles,Media_Goles_Local,Media_Goles_Visitante,Ranking_Local,Ranking_Visitante,Goles_Encajados_Local_Acumulados,Goles_Encajados_Visitante_Acumulados,Goles_Marcados_Local_Acumulados,Goles_Marcados_Visitante_Acumulados,Diferencia_Posicion,Rendimiento_Casa_Local,Rendimiento_Fuera_Visitante,Forma_Reciente_Local,Forma_Reciente_Visitante,Porterias_Cero_Local_Acum,Porterias_Cero_Visitante_Acum,Diferencia_Puntos_Local,Diferencia_Puntos_Visitante,Ratio_Goles_por_partido_Visitante,Ratio_Goles_por_partido_Local,Rendimiento_Ranking_Visitante,Rendimiento_Ranking_Local,Diferencia_Ranking,Local_Es_Favorito,Visitante_Es_Favorito,Ranking_Local_Cuadrado,Ranking_Visitante_Cuadrado,Rendimiento_Vistante,Rendimiento_Local,Local_Es_Ofensivo,Visitante_Es_Ofensivo,Local_Es_Defensivo,Visitante_Es_Defensivo
2000,1,7,0.0,30,0.0,37,0.0,0.0,5,1,0.0,0.0,2,2,0,0,2,2,0.0,0.0,0.0,357,281,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,76,0,1,127449,78961,0.0,0.0,0,0,0,0
2000,1,6,0.0,32,0.0,28,0.0,0.0,9,0,0.0,0.0,2,1,0,0,2,2,0.0,0.0,0.0,237,80,0,0,0,0,-3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,157,0,1,56169,6400,0.0,0.0,0,0,0,0
2000,1,16,0.0,19,0.0,3,0.0,0.0,2,1,0.0,0.0,3,0,0,0,2,2,0.0,0.0,0.0,169,271,0,0,0,0,14,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,-102,1,0,28561,73441,0.0,0.0,0,0,0,0
2000,1,20,0.0,41,0.0,12,0.0,0.0,17,2,0.0,0.0,4,3,0,0,2,2,0.0,0.0,0.0,85,190,0,0,0,0,3,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,-105,1,0,7225,36100,0.0,0.0,0,0,0,0
2000,1,19,0.0,5,0.0,23,0.0,0.0,14,1,0.0,0.0,4,3,0,0,2,2,0.0,0.0,0.0,267,173,0,0,0,0,5,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,94,0,1,71289,29929,0.0,0.0,0,0,0,0
2000,1,3,0.0,39,0.0,29,0.0,0.0,8,2,0.0,0.0,0,2,0,0,2,2,0.0,0.0,0.0,269,79,0,0,0,0,-5,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,190,0,1,72361,6241,0.0,0.0,0,0,0,0
2000,1,13,0.0,24,0.0,38,0.0,0.0,4,0,0.0,0.0,1,0,0,0,2,2,0.0,0.0,0.0,163,77,0,0,0,0,9,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,86,0,1,26569,5929,0.0,0.0,0,0,0,0
2000,1,15,0.0,20,0.0,0,0.0,0.0,1,2,0.0,0.0,3,0,0,0,2,2,0.0,0.0,0.0,35,62,0,0,0,0,14,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-27,1,0,1225,3844,0.0,0.0,0,0,0,0
2000,1,11,0.0,26,0.0,8,0.0,0.0,18,2,0.0,0.0,1,4,0,0,2,2,0.0,0.0,0.0,191,135,0,0,0,0,-7,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,56,0,1,36481,18225,0.0,0.0,0,0,0,0
2000,1,12,0.0,25,0.0,27,0.0,0.0,10,1,0.0,0.0,1,1,0,0,2,2,0.0,0.0,0.0,5,18,0,0,0,0,2,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,-13,1,0,25,324,0.0,0.0,0,0,0,0
2000,2,9,1.0,38,1.0,25,1.0,3.0,7,1,0.5,1.5,1,2,0,0,2,2,0.0,0.0,0.0,77,5,0,0,0,0,2,1.0,3.0,1.0,3.0,3,2,-2.0,2.0,0.5,0.5,7.5,38.5,72,0,1,5929,25,0.07142857142857142,0.05555555555555555,0,0,0,0
2000,2,18,0.0,23,1.0,30,2.0,3.0,2,0,0.0,1.5,4,0,0,0,2,2,0.0,0.0,0.0,173,357,0,0,0,0,16,0.0,3.0,0.0,3.0,3,2,-3.0,3.0,1.0,0.5,535.5,0.0,-184,1,0,29929,127449,0.5,0.027777777777777776,0,0,0,0
2000,2,14,0.0,37,1.0,24,1.0,1.0,10,1,0.0,0.5,3,1,0,0,2,2,0.0,0.0,0.0,281,163,0,0,0,0,4,0.0,1.0,0.0,1.0,4,2,-1.0,1.0,0.5,0.5,81.5,0.0,118,0,1,78961,26569,0.05,0.03571428571428571,0,0,0,0
2000,2,17,0.0,3,0.0,5,2.0,3.0,3,1,0.0,1.5,3,0,0,0,2,2,0.0,0.0,0.0,271,267,0,0,0,0,14,0.0,3.0,0.0,3.0,4,2,-3.0,3.0,1.0,0.0,400.5,0.0,4,0,1,73441,71289,0.3333333333333333,0.0,0,0,0,0
2000,2,12,1.0,28,2.0,19,2.0,3.0,6,2,0.5,1.5,1,2,0,0,2,2,0.0,0.0,0.0,80,169,0,0,0,0,6,1.0,3.0,1.0,3.0,4,3,-2.0,2.0,1.0,1.0,253.5,40.0,-89,1,0,6400,28561,0.16666666666666666,0.08333333333333333,0,0,0,0
2000,2,4,3.0,8,2.0,32,2.0,1.0,11,1,1.5,0.5,0,1,0,0,2,2,0.0,0.0,0.0,135,237,0,0,0,0,-7,3.0,1.0,3.0,1.0,4,3,2.0,-2.0,1.0,1.0,118.5,202.5,-102,1,0,18225,56169,0.09090909090909091,0.25,0,0,0,0
2000,2,1,3.0,0,3.0,39,1.0,0.0,13,2,1.5,0.0,0,1,0,0,2,2,0.0,0.0,0.0,62,269,0,0,0,0,-12,3.0,0.0,3.0,0.0,4,4,3.0,-3.0,0.5,1.5,0.0,93.0,-207,1,0,3844,72361,0.038461538461538464,1.5,0,0,0,0
2000,2,5,3.0,12,2.0,26,0.0,0.0,15,2,1.5,0.0,2,3,0,0,2,2,0.0,0.0,0.0,190,191,0,0,0,0,-10,3.0,0.0,3.0,0.0,4,4,3.0,-3.0,0.0,1.0,0.0,285.0,-1,1,0,36100,36481,0.0,0.2,0,0,0,0
