Rk,Team,Date,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Match Report
1,Valencia,2000-09-09,@,Real Madrid,es La Liga,L 1-2,1,2,-1,,0,1,,,Match Report
2,Real Madrid,2000-09-09,,Valencia,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
3,Espanyol,2000-09-09,@,Zaragoza,es La Liga,W 2-1,2,1,1,,1,1,,,Match Report
4,Real Sociedad,2000-09-09,,Racing Sant,es La Liga,D 2-2,2,2,0,,1,1,,,Match Report
5,La Coruña,2000-09-09,,Athletic Club,es La Liga,W 2-0,2,0,2,,1,1,,,Match Report
6,Zaragoza,2000-09-09,,Espanyol,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
7,Barcelona,2000-09-09,,Málaga,es La Liga,W 2-1,2,1,1,,2,0,,,Match Report
8,Málaga,2000-09-09,@,Barcelona,es La Liga,L 1-2,1,2,-1,,1,0,,,Match Report
9,Racing Sant,2000-09-09,@,Real Sociedad,es La Liga,D 2-2,2,2,0,,1,1,,,Match Report
10,Athletic Club,2000-09-09,@,La Coruña,es La Liga,L 0-2,0,2,-2,,0,0,,,Match Report
11,Osasuna,2000-09-10,,Celta Vigo,es La Liga,L 0-2,0,2,-2,,0,0,,,Match Report
12,Alavés,2000-09-10,@,Las Palmas,es La Liga,W 3-0,3,0,3,,3,0,,,Match Report
13,Oviedo,2000-09-10,@,Numancia,es La Liga,L 0-1,0,1,-1,,0,0,,,Match Report
14,Numancia,2000-09-10,,Oviedo,es La Liga,W 1-0,1,0,1,,1,0,,,Match Report
15,Celta Vigo,2000-09-10,@,Osasuna,es La Liga,W 2-0,2,0,2,,2,0,,,Match Report
16,Mallorca,2000-09-10,,Valladolid,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
17,Valladolid,2000-09-10,@,Mallorca,es La Liga,D 1-1,1,1,0,,1,0,,,Match Report
18,Las Palmas,2000-09-10,,Alavés,es La Liga,L 0-3,0,3,-3,,0,0,,,Match Report
